epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.26784,1.05962,0.6,1,1.05115,0.00014994,0.00014994,0.00014994
2,12.8188,0.72105,0.66667,1,0.91415,0.000276625,0.000276625,0.000276625
3,19.9548,0.55236,0.73333,1,0.8325,0.000372208,0.000372208,0.000372208
4,27.8317,0.37884,0.8,1,0.8073,0.00043669,0.00043669,0.00043669
5,35.9547,0.26684,0.73333,1,0.80819,0.000431256,0.000431256,0.000431256
6,42.8686,0.21818,0.73333,1,0.79841,0.00036057,0.00036057,0.00036057
7,49.5574,0.20929,0.73333,1,0.78511,0.000289884,0.000289884,0.000289884
8,56.366,0.18569,0.8,1,0.75999,0.000219198,0.000219198,0.000219198
9,63.0433,0.147,0.86667,1,0.74338,0.000148512,0.000148512,0.000148512
10,70.0047,0.11284,0.8,1,0.74969,7.7826e-05,7.7826e-05,7.7826e-05
